BELLE5;BG;BGTL;RW08;THT13;RW26;{{N76310485,W069093896},{N76310485,W069093896}}
FTM1N;LP;LPMR;RW01;FTM;MTL;{{N39542789,W008530075},{N39542789,W008530075},{N39442692,W008364841},{N39395645,W008293354}}
FTM1S;LP;LPMR;RW19;FTM;MTL;{{N39542789,W008530075},{N39542789,W008530075},{N39442692,W008364841},{N39395645,W008293354}}
OVR1N;LP;LPMR;RW01;OVR;MTL;{{N39542789,W008530075},{N39542789,W008530075},{N40305164,W008440811},{N40531327,W008383607}}
OVR1S;LP;LPMR;RW19;OVR;MTL;{{N39542789,W008530075},{N39542789,W008530075},{N40305164,W008440811},{N40531327,W008383607}}
OVR2S;LP;LPMR;RW19;OVR;R222O;{{N39380230,W009051386},{N39350882,W008563539},{N39495741,W008532452},{N40302092,W008440055},{N40531327,W008383607}}
STR1S;LP;LPMR;RW19;STR;MTR15;{{N39360653,W009005489},{N39293861,W009042404},{N39211969,W009085200},{N38524050,W009240660}}
ALME1E;LP;LPMT;RW08;ALMER;MOJ04;{{N38433521,W008570391},{N38343278,W008412366},{N38315206,W008343182},{N38315206,W008343182},{N39143195,W008322724}}
ALME1N;LP;LPMT;RW08;ALMER;ALMER;{{N39143195,W008322724}}
ALME1S;LP;LPMT;RW26;ALMER;MOJ;{{N38423150,W009015960},{N38472883,W008573960},{N39143195,W008322724}}
ALME1W;LP;LPMT;RW26;ALMER;MOJ18;{{N38343278,W008412366},{N38315206,W008343182},{N38315206,W008343182},{N39143195,W008322724}}
BEJ1E;LP;LPMT;RW08;BEJ;MOJ04;{{N38433521,W008570391},{N38322222,W008412962},{N38074232,W007553608}}
BEJ1W;LP;LPMT;RW26;BEJ;MOJ19;{{N38322222,W008412962},{N38074232,W007553608}}
CP1E;LP;LPMT;RW08;CP;CP;{{N38383225,W009131746}}
CP1W;LP;LPMT;RW26;CP;CP;{{N38383225,W009131746}}
ELVA1E;LP;LPMT;RW08;ELVAR;MOJ04;{{N38433521,W008570391},{N38361947,W008455792},{N38394349,W008343764},{N39131002,W007132397}}
ELVA1W;LP;LPMT;RW26;ELVAR;MOJ14;{{N38361947,W008455792},{N38394349,W008343764},{N39131002,W007132397}}
ESP1E;LP;LPMT;RW08;ESP;MOJ04;{{N38433521,W008570391},{N38252739,W009110881}}
ESP1W;LP;LPMT;RW26;ESP;ESP;{{N38252739,W009110881}}
MORA1N;LP;LPMT;RW08;MORAS;X078;{{N38583953,W008474622},{N39095035,W008010660}}
MORA1S;LP;LPMT;RW26;MORAS;MOJ;{{N38423150,W009015960},{N38472883,W008573960},{N38583953,W008474622},{N39095035,W008010660}}
