746;LE;TAG;MADRID-GETAFE;N40172105;W003433756;;;W0032;WGE;LECM;LECM;;;02034;11205;;;0
750;LE;TBC;BADAJOZ;N38532983;W006490725;;;W0037;WGE;LECM;LECM;;;00640;10880;;;2
766;LF;TLF;TOULOUSE FRANCAZAL;N43325450;E001220560;;;W0010;WGE;LFBB;LFFF;;;00587;11600;200;;1
767;LE;TLZ;LANZAROTE;N28563950;W013363600;;;W0061;WGE;GCCC;GCCC;;;00065;11470;;;0
768;LE;TMT;PALMA DE MALLORCA;N39334200;E002440600;;;W0017;WGE;LECB;LECB;;;00049;10840;570;;2
776;LI;TPR;PRATICA-TAC;N41371770;E012293770;;;E0007;WGE;LIRR;LIRR;;;00135;10870;000;;0
781;LP;TRM;LAJES;N38453733;W027053340;;;W0140;WGE;LPPO;LPPO;;;00180;11620;000;;2
786;EN;TRP;TORP;N59111951;E010153735;;;W0005;WGE;ENOR;ENOR;;;00312;10830;201;;2
791;LE;TSC;SALAMANCA;N40565670;W005300990;;;W0035;WGE;LECM;LECM;;;02602;11330;;;2
794;LF;TUL;TOUL ROSIERES;N48464760;E005590100;;;W0013;WGE;LFEE;LFFF;;;00942;10840;215;;0
796;LF;TUR;TOURS VAL DE LOIRE;N47251990;E000435120;;;W0020;WGE;LFFF;LFFF;;;00361;11380;492;;3
797;LE;TVD;VALLADOLID;N41421480;W004505930;;;W0040;WGE;LECM;LECM;;;02838;10820;;;2
798;EH;TWN;TWENTHE;N52162828;E006532940;;;W0014;WGE;EHAA;EHAA;;;00114;11070;276;;2
803;EN;VAE;VAERNES;N63271871;E010540151;;;W0007;WGE;ENOR;ENOR;;;00029;10990;383;;2
807;EH;VBG;VALKENBURG;N52094110;E004245042;;;W0023;WGE;EHAA;EHAA;;;00000;11120;220;;2
817;EN;VIA;VIGRA TACAN;N62330368;E006022078;;;W0026;WGE;ENOR;ENOR;;;00287;11240;466;;2
828;EH;VKL;VOLKEL;N51391956;E005422604;;;W0020;WGE;EHAA;EHAA;;;00084;10830;479;;3
831;EG;VLN;YEOVILTON;N51001805;W002381951;;;W0035;WGE;EGTT;EGTT;;;00113;11100;000;;2
845;EG;VYL;VALLEY;N53152672;W004323890;;;W0058;WGE;EGTT;EGTT;;;00101;10840;;;2
846;EG;WAD;WADDINGTON;N53095520;W000313660;;;W0040;WGE;EGTT;EGTT;;;00231;11710;000;;1
849;EH;WDT;WOENSDRECHT;N51265065;E004203805;;;W0020;WGE;EHAA;EHAA;;;00047;11500;379;;1
853;EG;WIT;WITTERING;N52362845;W000295542;;;W0040;WGE;EGTT;EGTT;;;00295;11760;000;;2
860;ED;WTM;WITTMUNDHAFEN;N53331560;E007433060;;;W0003;WGE;EDWW;EDVV;;;00061;11350;;;2
861;EG;WTN;WARTON;N53442525;W002533422;;;W0040;WGE;EGTT;EGTT;;;00054;11320;000;;1
862;EG;WTZ;WATTISHAM;N52071892;E000562572;;;W0030;WGE;EGTT;EGTT;;;00324;10930;000;;2
863;ED;WUN;WUNSTORF;N52273720;E009264140;;;E0010;WGE;EDWW;EDVV;;;00202;11485;229;;2
871;ED;ZBU;ZWEIBRUCKEN;N49125400;E007243000;;;W0007;WGE;EDFF;EDUU;;;01152;11110;197;;2
1283;LI;CAS;CASELLE;N45113780;E007391010;LIMF;LI;E0006;WGE;LIMM;LIMM;;;00961;10950;290;;0
