2910;EG;4810N;N48 00 W010 00;N48000000;W010000000;ENRT;;W0067;WGE;EGPX;EGPX;;;;RF;
2911;EG;4815N;N48 00 W015 00;N48000000;W015000000;ENRT;;W0089;WGE;EGGX;EGGX;;;;RF;
2912;EG;4820N;N48 00 W020 00;N48000000;W020000000;ENRT;;W0112;WGE;EGGX;EGGX;;;;RF;
2913;EG;4825N;N48 00 W025 00;N48000000;W025000000;ENRT;;W0126;WGE;EGGX;EGGX;;;;IF;
2914;EG;4830N;N48 00 W030 00;N48000000;W030000000;ENRT;;W0155;WGE;EGGX;EGGX;;;;RF;
2915;EG;4905N;N49 29 W005 03;N49290400;W005032600;ENRT;;W0042;WGE;EGTT;EGTT;;;;U;RH
2916;EG;4909N;N49 00 W009 00;N49000000;W009000000;ENRT;;W0065;WGE;EGGX;EGGX;;;;RF;
2917;EG;4910N;N49 00 W010 00;N49000000;W010000000;ENRT;;W0065;WGE;EGPX;EGPX;;;;RF;
2918;EG;4920N;N49 00 W020 00;N49000000;W020000000;ENRT;;W0115;WGE;EGGX;EGGX;;;;RF;
2919;EG;4925N;N49 00 W025 00;N49000000;W025000000;ENRT;;W0129;WGE;EGGX;EGGX;;;;IF;
2920;EK;49LST;LST-161/D149;N55450000;E008055400;ENRT;;W0002;WGE;EKDK;EKDK;;;;I;H
2921;LF;4A07N;N48 57 W007 22;N48570000;W007220000;ENRT;;W0059;WGE;LFRR;LFFF;;;;RF;
2922;EG;4A10N;N47 26 W010 00;N47263600;W010000000;ENRT;;W0069;WGE;EGGX;EGGX;;;;RF;
2923;LE;4A11N;N45 00 W011 20;N45000000;W011200000;ENRT;;W0069;WGE;LECM;LECM;;;;RF;
2924;LP;4A11N;N42 31 W011 55;N42310000;W011550000;ENRT;;W0064;WGE;LPPC;LPPC;;;;RF;
2925;LE;4A13N;N44 25 W013 00;N44250000;W013000000;ENRT;;W0076;WGE;LECM;LECM;;;;RF;
2926;EG;4A15N;N45 00 W015 30;N45000000;W015300000;ENRT;;W0082;WGE;EGGX;EGGX;;;;RF;
2927;LP;4A15N;N41 38 W015 00;N41380000;W015000000;ENRT;;W0075;WGE;LPPC;LPPC;;;;RF;
2928;LF;5000E;N50 00 E000 00;N50000000;E000000000;ENRT;;W0027;WGE;LFFF;LFFF;;;;RF;
2929;EG;5000N;N50 40 W000 12;N50400000;W000125200;ENRT;;W0026;WGE;EGTT;EGTT;;;;U;L
2930;EG;5001E;N50 58 E001 02;N50584200;E001022700;ENRT;;W0022;WGE;EGTT;EGTT;;;;U;L
2931;EG;5001N;N50 45 W001 20;N50454300;W001201600;ENRT;;W0030;WGE;EGTT;EGTT;;;;U;L
2932;EG;5010N;N50 00 W010 00;N50000000;W010000000;ENRT;;W0072;WGE;EGPX;EGPX;;;;RF;
2933;EG;5016N;N50 00 W016 00;N50000000;W016000000;ENRT;;W0099;WGE;EGGX;EGGX;;;;RF;
2934;EG;5020N;N50 00 W020 00;N50000000;W020000000;ENRT;;W0117;WGE;EGGX;EGGX;;;;RF;
2935;EG;5025N;N50 00 W025 00;N50000000;W025000000;ENRT;;W0144;WGE;EGGX;EGGX;;;;RF;
2936;EG;5100E;N51 00 E000 00;N51000000;E000000000;ENRT;;W0029;WGE;EGTT;EGTT;;;;RF;
2937;EG;5100N;N51 57 W000 22;N51573200;W000215700;ENRT;;W0029;WGE;EGTT;EGTT;;;;U;L
2938;EG;5101E;CLN-112/D11.2;N51471200;E001255800;ENRT;;W0022;WGE;EGTT;EGTT;;;;I;L
2939;EG;5101N;N51 09 E001 37;N51085900;E001373100;ENRT;;W0020;WGE;EGTT;EGTT;;;;U;L
2940;EG;5105N;N51 47 W005 20;N51472800;W005202100;ENRT;;W0048;WGE;EGTT;EGTT;;;;U;RH
2941;EI;5109N;N51 00 W009 00;N51000000;W009000000;ENRT;;W0070;WGE;EISN;EISN;;;;RU;
2942;EG;5110N;N51 00 W010 00;N51000000;W010000000;ENRT;;W0070;WGE;EGPX;EGPX;;;;RF;
2943;EG;5120N;N51 00 W020 00;N51000000;W020000000;ENRT;;W0120;WGE;EGGX;EGGX;;;;RF;
2944;EG;5125N;N51 00 W025 00;N51000000;W025000000;ENRT;;W0136;WGE;EGGX;EGGX;;;;IF;
2945;EG;51KOP;51KOP;N51332200;E001161700;ENRT;;W0021;WGE;EGTT;EGTT;;;;U;L
2946;EG;5200E;N52 00 E000 00;N52000000;E000000000;ENRT;;W0031;WGE;EGTT;EGTT;;;;RF;
2947;EG;5200N;N52 04 W000 33;N52041900;W000331900;ENRT;;W0029;WGE;EGTT;EGTT;;;;U;L
2948;EG;5201N;N52 05 W001 31;N52055100;W001314400;ENRT;;W0033;WGE;EGTT;EGTT;;;;U;L
2949;EG;5202N;N52 02 W002 45;N52021600;W002454200;ENRT;;W0038;WGE;EGTT;EGTT;;;;I;L
2950;EG;5203N;N52 59 W003 10;N52590000;W003100100;ENRT;;W0042;WGE;EGTT;EGTT;;;;U;L
2951;EG;5205N;N52 59 W005 00;N52590300;W005000000;ENRT;;W0049;WGE;EGPX;EGPX;;;;I;L
2952;EI;5210N;N52 00 W010 00;N52000000;W010000000;ENRT;;W0077;WGE;EGPX;EGPX;;;;RF;
2953;EG;5220N;N52 00 W020 00;N52000000;W020000000;ENRT;;W0125;WGE;EGGX;EGGX;;;;RF;
