11791;ED;ILUW;ILS PISTE;N53480606;E010420115;EDHL;ED;E001;WGE;;;;;;1;11170;RW25;2520;N53482769;E010433859;1280;;0305;;300;05;10004;7
11826;ED;IMGE;ILS PISTE;N51133131;E006305199;EDLN;ED;W001;WGE;;;;;;1;10895;RW13;1290;N51135987;E006300498;0951;;0528;;350;03;90012;4
11827;ED;IMGW;ILS PISTE;N51140845;E006293795;EDLN;ED;W001;WGE;;;;;;1;11055;RW31;3090;N51134592;E006303278;1148;;0636;;300;03;90012;5
11860;ED;IPLE;ILS PISTE;N51371632;E008380159;EDLP;ED;E000;WGE;;;;;;1;11170;RW06;0560;N51364092;E008362199;1165;;0657;;300;05;20069;9
11861;ED;IPLW;ILS PISTE;N51362605;E008355826;EDLP;ED;E000;WGE;;;;;;1;10855;RW24;2360;N51370811;E008372719;0990;;0677;;300;06;80067;4
11886;ED;INIW;ILS PISTE;N51361058;E006070590;EDLV;ED;E000;WGE;;;;;;1;11070;RW27;2720;N51361183;E006092014;1425;;0037;;300;04;90010;5
11932;ED;IDWE;ILS PISTE;N51312729;E007374460;EDLW;ED;E000;WGE;;;;;;2;10915;RW06;0610;N51310649;E007363280;0537;;0577;;300;05;10041;8
11933;ED;IDWW;ILS PISTE;N51304892;E007355559;EDLW;ED;E000;WGE;;;;;;2;11030;RW24;2410;N51311827;E007370597;0660;;0945;;300;04;90039;9
11970;ED;AUG;ILS PISTE;N48252210;E010551541;EDMA;ED;E001;WGE;;;;;;1;10850;RW25;2500;N48253042;E010561558;0666;;1166;;350;05;00151;5
11997;ED;OBI;ILS PISTE;N48041712;E011161020;EDMO;ED;E001;WGE;;;;;;1;11050;RW22;2220;N48051106;E011172973;1290;;1093;;300;05;90188;9
12055;ED;IFHE;ILS PISTE;N47403862;E009313780;EDNY;ED;E001;WGE;;;;;;1;11190;RW06;0590;N47400289;E009301768;0589;;0656;;310;04;90133;3
12056;ED;IFHW;ILS PISTE;N47395499;E009294529;EDNY;ED;E001;WGE;;;;;;2;11190;RW24;2390;N47403002;E009310360;0560;;0820;;300;04;90136;6
12070;ED;IPAW;ILS PISTE;N53251187;E011452937;EDOP;ED;E002;WGE;;;;;;1;10870;RW24;2440;N53254770;E011480124;1161;;0636;;300;05;50016;6
12131;ED;IHOE;ILS PISTE;N50172063;E011515692;EDQM;ED;E002;WGE;;;;;;0;11070;RW09;0850;;;0321;;;;;0;;
12132;ED;IHOW;ILS PISTE;N50171746;E011502851;EDQM;ED;E002;WGE;;;;;;1;11070;RW27;2650;N50172391;E011513531;0578;;1096;;350;05;20195;8
12162;ED;IZWE;ILS PISTE;N49131762;E007244056;EDRZ;ED;E000;WGE;;;;;;1;10835;RW03;0300;N49120636;E007234457;1138;;0978;;300;05;20112;6
12163;ED;IZWW;ILS PISTE;N49114815;E007232168;EDRZ;ED;E000;WGE;;;;;;1;10935;RW21;2100;N49125781;E007242936;0562;;1024;;300;05;40111;5
